clean_acc,fgsm_Linf_acc0_1,fgsm_Linf_acc0_5,fgsm_Linf_acc1_0,fgsm_Linf_acc2_0,fgsm_Linf_acc3_0,fgsm_Linf_acc4_0,fgsm_Linf_acc5_0,fgsm_Linf_acc6_0,fgsm_Linf_acc7_0,fgsm_Linf_acc8_0,fgsm_Linf_acc255_0,pgd_Linf_acc0_1,pgd_Linf_acc0_5,pgd_Linf_acc1_0,pgd_Linf_acc2_0,pgd_Linf_acc3_0,pgd_Linf_acc4_0,pgd_Linf_acc8_0,aa_apgd_ce_Linf_acc0_1,aa_apgd_ce_Linf_acc0_5,aa_apgd_ce_Linf_acc1_0,aa_apgd_ce_Linf_acc2_0,aa_apgd_ce_Linf_acc3_0,aa_apgd_ce_Linf_acc4_0,aa_apgd_ce_Linf_acc8_0,aa_square_Linf_acc0_1,aa_square_Linf_acc0_5,aa_square_Linf_acc1_0,aa_square_Linf_acc2_0,aa_square_Linf_acc3_0,aa_square_Linf_acc4_0,aa_square_Linf_acc8_0
0.692,0.588,0.324,0.214,0.151,0.129,0.118,0.109,0.102,0.096,0.092,0.009,0.592,0.247,0.075,0.012,0.003,0.001,0.0,0.575,0.163,0.022,0.002,0.0,0.0,0.0,0.665,0.47,0.277,0.095,0.037,0.018,0.003
0.711,0.597,0.337,0.23,0.175,0.154,0.141,0.133,0.122,0.111,0.102,0.01,0.602,0.25,0.079,0.013,0.003,0.001,0.0,0.582,0.158,0.026,0.002,0.0,0.0,0.0,0.679,0.469,0.28,0.097,0.041,0.02,0.004
0.468,0.444,0.36,0.272,0.152,0.094,0.061,0.042,0.033,0.027,0.021,0.01,0.446,0.367,0.276,0.138,0.068,0.033,0.002,0.444,0.354,0.245,0.098,0.039,0.014,0.001,0.457,0.387,0.304,0.167,0.094,0.053,0.01
0.685,0.587,0.345,0.241,0.175,0.148,0.136,0.125,0.118,0.113,0.108,0.009,0.591,0.272,0.09,0.014,0.004,0.002,0.0,0.572,0.191,0.035,0.003,0.0,0.0,0.0,0.662,0.474,0.293,0.107,0.042,0.02,0.004
0.672,0.568,0.29,0.159,0.092,0.074,0.064,0.059,0.058,0.056,0.055,0.009,0.573,0.234,0.061,0.004,0.0,0.0,0.0,0.557,0.157,0.022,0.0,0.0,0.0,0.0,0.643,0.449,0.258,0.082,0.027,0.012,0.002
0.703,0.58,0.297,0.19,0.133,0.109,0.094,0.088,0.082,0.075,0.071,0.009,0.585,0.205,0.046,0.004,0.0,0.0,0.0,0.563,0.118,0.011,0.0,0.0,0.0,0.0,0.666,0.447,0.24,0.068,0.025,0.01,0.003
0.671,0.559,0.284,0.167,0.107,0.088,0.081,0.072,0.066,0.062,0.057,0.01,0.565,0.213,0.051,0.003,0.0,0.0,0.0,0.547,0.139,0.017,0.0,0.0,0.0,0.0,0.646,0.442,0.246,0.085,0.032,0.017,0.003
0.633,0.522,0.244,0.128,0.073,0.058,0.048,0.044,0.041,0.039,0.037,0.01,0.528,0.2,0.044,0.003,0.0,0.0,0.0,0.512,0.129,0.014,0.0,0.0,0.0,0.0,0.605,0.415,0.239,0.079,0.029,0.013,0.002
0.58,0.52,0.309,0.159,0.05,0.025,0.016,0.011,0.009,0.008,0.007,0.008,0.525,0.311,0.132,0.017,0.002,0.0,0.0,0.519,0.263,0.077,0.004,0.0,0.0,0.0,0.567,0.446,0.303,0.131,0.052,0.026,0.002
0.617,0.538,0.311,0.186,0.103,0.079,0.064,0.058,0.051,0.047,0.043,0.01,0.545,0.283,0.102,0.011,0.002,0.001,0.0,0.534,0.225,0.048,0.002,0.0,0.0,0.0,0.597,0.451,0.31,0.128,0.052,0.024,0.004
