clean_acc,fgsm_Linf_acc0_1,fgsm_Linf_acc0_5,fgsm_Linf_acc1_0,fgsm_Linf_acc2_0,fgsm_Linf_acc3_0,fgsm_Linf_acc4_0,fgsm_Linf_acc5_0,fgsm_Linf_acc6_0,fgsm_Linf_acc7_0,fgsm_Linf_acc8_0,fgsm_Linf_acc255_0,pgd_Linf_acc0_1,pgd_Linf_acc0_5,pgd_Linf_acc1_0,pgd_Linf_acc2_0,pgd_Linf_acc3_0,pgd_Linf_acc4_0,pgd_Linf_acc8_0,aa_apgd_ce_Linf_acc0_1,aa_apgd_ce_Linf_acc0_5,aa_apgd_ce_Linf_acc1_0,aa_apgd_ce_Linf_acc2_0,aa_apgd_ce_Linf_acc3_0,aa_apgd_ce_Linf_acc4_0,aa_apgd_ce_Linf_acc8_0,aa_square_Linf_acc0_1,aa_square_Linf_acc0_5,aa_square_Linf_acc1_0,aa_square_Linf_acc2_0,aa_square_Linf_acc3_0,aa_square_Linf_acc4_0,aa_square_Linf_acc8_0
0.18,0.166,0.112,0.068,0.026,0.01,0.006,0.005,0.005,0.003,0.004,0.008,0.168,0.116,0.072,0.022,0.006,0.002,0.0,0.166,0.107,0.055,0.011,0.003,0.0,0.0,0.167,0.121,0.066,0.02,0.008,0.001,0.0
0.341,0.251,0.087,0.032,0.015,0.013,0.015,0.017,0.018,0.017,0.018,0.008,0.254,0.068,0.011,0.0,0.0,0.0,0.0,0.243,0.038,0.002,0.0,0.0,0.0,0.0,0.272,0.093,0.028,0.004,0.002,0.001,0.0
0.375,0.26,0.073,0.029,0.018,0.019,0.017,0.015,0.018,0.015,0.014,0.008,0.267,0.049,0.005,0.0,0.0,0.0,0.0,0.248,0.023,0.001,0.0,0.0,0.0,0.0,0.284,0.077,0.017,0.004,0.002,0.001,0.001
0.366,0.252,0.068,0.03,0.02,0.019,0.018,0.016,0.016,0.016,0.016,0.008,0.258,0.045,0.005,0.0,0.0,0.0,0.0,0.243,0.021,0.0,0.0,0.0,0.0,0.0,0.281,0.074,0.019,0.004,0.002,0.001,0.0
0.289,0.225,0.089,0.036,0.015,0.014,0.016,0.015,0.013,0.013,0.012,0.007,0.231,0.081,0.015,0.001,0.0,0.0,0.0,0.223,0.054,0.006,0.0,0.0,0.0,0.0,0.252,0.097,0.028,0.006,0.002,0.001,0.0
0.377,0.246,0.072,0.033,0.023,0.024,0.02,0.02,0.02,0.017,0.015,0.009,0.251,0.044,0.006,0.0,0.0,0.0,0.0,0.234,0.019,0.0,0.0,0.0,0.0,0.0,0.272,0.071,0.018,0.004,0.002,0.002,0.0
0.453,0.304,0.095,0.057,0.045,0.043,0.036,0.036,0.03,0.025,0.023,0.008,0.305,0.047,0.006,0.0,0.0,0.0,0.0,0.278,0.016,0.001,0.0,0.0,0.0,0.0,0.333,0.082,0.021,0.006,0.003,0.002,0.0
0.302,0.237,0.086,0.037,0.014,0.01,0.01,0.009,0.011,0.012,0.012,0.01,0.242,0.075,0.016,0.0,0.0,0.0,0.0,0.233,0.054,0.006,0.0,0.0,0.0,0.0,0.26,0.097,0.029,0.005,0.002,0.001,0.001
0.44,0.292,0.088,0.05,0.043,0.037,0.034,0.03,0.025,0.024,0.022,0.009,0.296,0.046,0.006,0.0,0.0,0.0,0.0,0.272,0.021,0.001,0.0,0.0,0.0,0.0,0.317,0.085,0.021,0.005,0.002,0.001,0.0
0.115,0.107,0.084,0.059,0.03,0.018,0.011,0.006,0.004,0.004,0.003,0.007,0.108,0.087,0.064,0.032,0.017,0.009,0.002,0.107,0.083,0.055,0.026,0.01,0.005,0.0,0.111,0.089,0.065,0.036,0.016,0.011,0.003
0.391,0.26,0.077,0.033,0.024,0.024,0.025,0.021,0.019,0.016,0.014,0.008,0.264,0.044,0.005,0.0,0.0,0.0,0.0,0.245,0.018,0.0,0.0,0.0,0.0,0.0,0.281,0.067,0.016,0.004,0.002,0.001,0.0
0.287,0.223,0.09,0.039,0.016,0.012,0.009,0.008,0.007,0.007,0.006,0.008,0.228,0.082,0.021,0.001,0.0,0.0,0.0,0.221,0.061,0.007,0.001,0.0,0.0,0.0,0.248,0.096,0.028,0.006,0.003,0.002,0.0
0.429,0.291,0.08,0.042,0.035,0.032,0.028,0.027,0.025,0.022,0.02,0.008,0.293,0.044,0.005,0.0,0.0,0.0,0.0,0.269,0.018,0.0,0.0,0.0,0.0,0.0,0.319,0.075,0.019,0.006,0.002,0.002,0.0
0.163,0.147,0.103,0.062,0.028,0.016,0.01,0.007,0.005,0.005,0.005,0.009,0.148,0.107,0.065,0.027,0.011,0.005,0.0,0.147,0.099,0.053,0.016,0.007,0.002,0.0,0.15,0.104,0.063,0.021,0.009,0.004,0.001
0.14,0.129,0.092,0.062,0.031,0.016,0.009,0.008,0.007,0.007,0.005,0.009,0.13,0.097,0.065,0.029,0.01,0.005,0.0,0.129,0.09,0.055,0.018,0.006,0.002,0.0,0.133,0.101,0.07,0.031,0.012,0.008,0.001
0.33,0.241,0.079,0.033,0.017,0.017,0.016,0.015,0.016,0.015,0.015,0.009,0.246,0.062,0.012,0.0,0.0,0.0,0.0,0.235,0.035,0.002,0.0,0.0,0.0,0.0,0.261,0.075,0.02,0.004,0.001,0.002,0.0
0.343,0.242,0.08,0.04,0.022,0.021,0.022,0.023,0.022,0.021,0.02,0.008,0.247,0.053,0.007,0.0,0.0,0.0,0.0,0.232,0.026,0.001,0.0,0.0,0.0,0.0,0.271,0.087,0.024,0.007,0.003,0.002,0.0
0.305,0.25,0.113,0.054,0.024,0.019,0.018,0.017,0.017,0.019,0.019,0.007,0.255,0.108,0.033,0.003,0.0,0.0,0.0,0.247,0.08,0.016,0.0,0.0,0.0,0.0,0.268,0.129,0.046,0.008,0.003,0.001,0.0
0.403,0.276,0.086,0.045,0.035,0.032,0.031,0.028,0.025,0.024,0.023,0.008,0.279,0.047,0.006,0.0,0.0,0.0,0.0,0.261,0.019,0.001,0.0,0.0,0.0,0.0,0.297,0.081,0.019,0.006,0.002,0.002,0.0
0.433,0.295,0.091,0.045,0.038,0.033,0.03,0.027,0.024,0.023,0.022,0.008,0.296,0.053,0.007,0.0,0.0,0.0,0.0,0.273,0.023,0.001,0.0,0.0,0.0,0.0,0.32,0.088,0.025,0.004,0.002,0.002,0.0
0.414,0.28,0.081,0.04,0.03,0.028,0.023,0.02,0.017,0.016,0.016,0.008,0.284,0.046,0.005,0.0,0.0,0.0,0.0,0.261,0.019,0.001,0.0,0.0,0.0,0.0,0.308,0.078,0.017,0.005,0.002,0.001,0.0
0.455,0.305,0.095,0.055,0.044,0.044,0.036,0.034,0.031,0.025,0.022,0.009,0.306,0.043,0.005,0.0,0.0,0.0,0.0,0.276,0.017,0.0,0.0,0.0,0.0,0.0,0.331,0.08,0.02,0.006,0.003,0.002,0.0
0.161,0.149,0.102,0.062,0.03,0.016,0.009,0.006,0.005,0.005,0.004,0.008,0.151,0.106,0.064,0.028,0.011,0.004,0.0,0.149,0.099,0.055,0.017,0.006,0.002,0.0,0.151,0.105,0.062,0.023,0.01,0.003,0.0
0.427,0.282,0.08,0.041,0.031,0.031,0.028,0.024,0.022,0.02,0.019,0.006,0.286,0.038,0.004,0.0,0.0,0.0,0.0,0.261,0.015,0.0,0.0,0.0,0.0,0.0,0.318,0.07,0.018,0.005,0.002,0.002,0.0
0.39,0.276,0.09,0.045,0.028,0.028,0.03,0.028,0.026,0.024,0.023,0.008,0.282,0.053,0.01,0.0,0.0,0.0,0.0,0.262,0.026,0.002,0.0,0.0,0.0,0.0,0.298,0.088,0.023,0.006,0.002,0.002,0.001
0.439,0.294,0.092,0.046,0.039,0.034,0.035,0.029,0.025,0.023,0.023,0.007,0.298,0.048,0.005,0.0,0.0,0.0,0.0,0.272,0.016,0.001,0.0,0.0,0.0,0.0,0.326,0.082,0.02,0.006,0.003,0.002,0.0
0.384,0.261,0.087,0.044,0.031,0.028,0.026,0.02,0.019,0.018,0.017,0.006,0.266,0.05,0.007,0.0,0.0,0.0,0.0,0.246,0.02,0.001,0.0,0.0,0.0,0.0,0.294,0.085,0.022,0.006,0.002,0.001,0.0
0.358,0.251,0.071,0.03,0.023,0.021,0.019,0.015,0.013,0.013,0.012,0.011,0.255,0.047,0.004,0.0,0.0,0.0,0.0,0.239,0.02,0.0,0.0,0.0,0.0,0.0,0.274,0.072,0.016,0.003,0.002,0.002,0.0
0.289,0.226,0.09,0.036,0.012,0.011,0.011,0.011,0.011,0.009,0.009,0.008,0.23,0.082,0.02,0.001,0.0,0.0,0.0,0.223,0.058,0.008,0.0,0.0,0.0,0.0,0.248,0.092,0.029,0.005,0.002,0.001,0.0
0.333,0.245,0.088,0.044,0.028,0.025,0.022,0.021,0.02,0.017,0.015,0.008,0.249,0.066,0.011,0.0,0.0,0.0,0.0,0.237,0.039,0.003,0.0,0.0,0.0,0.0,0.271,0.091,0.023,0.004,0.002,0.001,0.0
0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008
0.154,0.139,0.095,0.06,0.027,0.013,0.008,0.007,0.005,0.005,0.004,0.006,0.14,0.098,0.061,0.024,0.01,0.004,0.0,0.138,0.091,0.051,0.014,0.005,0.002,0.0,0.141,0.097,0.059,0.021,0.009,0.004,0.0
0.297,0.225,0.085,0.033,0.015,0.012,0.013,0.013,0.011,0.011,0.011,0.008,0.23,0.072,0.014,0.001,0.0,0.0,0.0,0.221,0.047,0.005,0.0,0.0,0.0,0.0,0.25,0.094,0.028,0.007,0.003,0.002,0.0
0.444,0.299,0.096,0.055,0.042,0.041,0.036,0.031,0.029,0.026,0.023,0.009,0.299,0.05,0.007,0.0,0.0,0.0,0.0,0.274,0.018,0.001,0.0,0.0,0.0,0.0,0.332,0.08,0.023,0.006,0.003,0.002,0.001
0.384,0.261,0.087,0.044,0.031,0.028,0.026,0.02,0.019,0.018,0.017,0.006,0.266,0.05,0.007,0.0,0.0,0.0,0.0,0.246,0.02,0.001,0.0,0.0,0.0,0.0,0.294,0.085,0.022,0.006,0.002,0.001,0.0
0.396,0.268,0.08,0.038,0.024,0.025,0.023,0.022,0.022,0.024,0.021,0.008,0.273,0.041,0.004,0.0,0.0,0.0,0.0,0.252,0.015,0.0,0.0,0.0,0.0,0.0,0.296,0.075,0.018,0.004,0.004,0.001,0.0
0.426,0.292,0.087,0.05,0.034,0.028,0.029,0.026,0.023,0.021,0.019,0.009,0.292,0.045,0.006,0.0,0.0,0.0,0.0,0.267,0.018,0.0,0.0,0.0,0.0,0.0,0.319,0.083,0.023,0.005,0.003,0.001,0.0
0.454,0.28,0.082,0.048,0.045,0.037,0.027,0.026,0.025,0.021,0.019,0.008,0.278,0.033,0.003,0.0,0.0,0.0,0.0,0.25,0.012,0.0,0.0,0.0,0.0,0.0,0.313,0.069,0.019,0.004,0.002,0.001,0.0
0.332,0.208,0.057,0.025,0.021,0.022,0.024,0.023,0.022,0.018,0.017,0.01,0.211,0.029,0.005,0.0,0.0,0.0,0.0,0.194,0.012,0.001,0.0,0.0,0.0,0.0,0.274,0.068,0.023,0.006,0.004,0.002,0.0
0.247,0.196,0.089,0.046,0.021,0.017,0.015,0.016,0.017,0.018,0.019,0.009,0.2,0.086,0.028,0.003,0.0,0.0,0.0,0.195,0.068,0.014,0.001,0.0,0.0,0.0,0.223,0.127,0.066,0.021,0.007,0.006,0.001
0.374,0.257,0.076,0.031,0.022,0.022,0.022,0.02,0.016,0.013,0.013,0.008,0.26,0.044,0.003,0.0,0.0,0.0,0.0,0.244,0.017,0.0,0.0,0.0,0.0,0.0,0.28,0.075,0.016,0.005,0.002,0.001,0.0
0.378,0.258,0.076,0.036,0.028,0.027,0.024,0.021,0.019,0.017,0.017,0.008,0.262,0.04,0.003,0.0,0.0,0.0,0.0,0.243,0.018,0.0,0.0,0.0,0.0,0.0,0.281,0.073,0.018,0.004,0.002,0.001,0.0
0.421,0.276,0.08,0.046,0.036,0.031,0.028,0.026,0.024,0.02,0.018,0.011,0.279,0.042,0.004,0.0,0.0,0.0,0.0,0.256,0.013,0.0,0.0,0.0,0.0,0.0,0.306,0.073,0.018,0.006,0.002,0.002,0.0
